date,gallons,USD,miles,ethanol,octane,notes
2017/02/17,7.782,17.97,137.5,10,87,Sams
2017/03/03,15.100,33.98,260.8,10,87,Sams
2017/03/17,13.648,30.01,248.6,10,87,Sams
2017/04/01,11.339,24.48,197.4,10,87,Sams
2017/04/22,14.901,35.15,242.5,10,87,Phillips
2017/04/23,13.405,30.95,310.4,10,87,Holiday-Owatonna
2017/05/12,17.373,37.68,291.7,10,87,Sams
2017/05/26,12.608,28.61,195.6,10,87,Sams
2017/06/01,15.089,33.18,301.7,10,87,Shell
2017/06/02,8.608,22.37,188.1,0,87,Caseys
2017/06/02,6.850,15.47,144.1,0,87,Cenex
2017/06/02,6.712,18.45,120.2,10,87,Conoco
2017/06/02,8.337,25.50,190.0,10,87,Exxon
2017/06/05,7.766,20.34,181.8,10,87,Valero
2017/06/11,11.162,28.34,231.9,10,87,Conoco
2017/06/11,14.664,31.66,293.3,10,87,Cenex
2017/06/11,16.366,35.66,358.0,10,87,"Kum & Go"
2017/06/20,16.744,34.31,349.1,10,87,Sams
2017/07/02,16.913,37.19,315.2,0,87,Holiday
2017/07/04,16.980,34.45,349.4,0,87,Holiday
2017/07/07,13.260,29.16,313.8,0,87,"Super America"
