date,USD,gallons,miles,octane,ethanol,notes
2018/06/08,44.52,15.357,284.2,87,10,Phillips 66
2018/06/10,45.11,15.561,341.6,87,0,Loves
2018/06/18,44.2,16.877,319.2,87,10,Sams
2018/06/21,38.47,14.254,307.6,87,10,Kum&Go
2018/06/26,34,13.234,284.3,87,10,Sams
2018/06/29,28.13,10.197,200.1,87,10,Phillips 66
2018/07/01,34.1,12.451,278.9,87,0,Pilot
2018/07/02,35.59,13.185,291,87,0,Holiday
2018/07/05,35.66,14.865,326.4,87,0,Costco
2018/07/11,49.1,17.542,370.9,87,0,Holiday
2018/07/13,47.4,17.563,366.1,87,10,Casey's
2018/07/19,33.9,12.895,239.5,87,10,Swift shop
2018/07/19,18.12,6.664,146.6,87,0,Holiday
2018/07/19,22.1,7.894,190.8,87,0,Holiday
2018/07/22,27.86,10.322,197.3,87,10,Cenex
2018/07/22,18.24,6.859,145.5,87,10,Holiday
2018/07/22,18.43,6.778,147.7,87,0,Holiday
2018/07/23,18.99,7.449,154.3,87,10,Sams
2018/07/28,24.09,8.762,157.2,87,10,Phillips 66
2018/08/07,33.23,12.043,259.4,87,10,SuperAmerica
2018/08/10,31.08,11.388,231,87,10,Swift shop
2018/08/10,17.42,6.455,147.1,87,0,Holiday
